timing on
Timing is on.
select s_acctbal,
s_name, n_name, p_partkey, p_mfgr, s_address, s_phone, s_comment
from part,
supplier, partsupp, nation, region
where
p_partkey = ps_partkey
and s_suppkey = ps_suppkey and p_size = 30
and p_type like '%STEEL'
and s_nationkey = n_nationkey and n_regionkey = r_regionkey and r_name = 'ASIA'
and ps_supplycost = (
select min(ps_supplycost)
from partsupp,
supplier, nation, region
where
p_partkey = ps_partkey
and s_suppkey = ps_suppkey and s_nationkey = n_nationkey and n_regionkey = r_regionkey and r_name = 'ASIA'
) order by
s_acctbal desc, n_name, s_name, p_partkey
limit 100;
 s_acctbal |          s_name           |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                               
-----------+---------------------------+---------------------------+-----------+---------------------------+------------------------------------------+-----------------+------------------------------------------------------------------------------------------------------
   9999.18 | Supplier#000187179        | INDONESIA                 |   1187178 | Manufacturer#2            | cuoImj9sQC1GcN2JiLtck42QpAeSMQi          | 19-342-626-8923 | al deposits. express deposits 
   9999.18 | Supplier#000187179        | INDONESIA                 |   3687178 | Manufacturer#5            | cuoImj9sQC1GcN2JiLtck42QpAeSMQi          | 19-342-626-8923 | al deposits. express deposits 
   9998.61 | Supplier#000120840        | JAPAN                     |   5495829 | Manufacturer#2            | qoNtnH0Bpf7,XcaVov                       | 22-289-158-8700 | g to the final attainments. doggedly unusual pinto beans wake furiously at the final theodolites
   9998.02 | Supplier#000479593        | INDONESIA                 |   8354576 | Manufacturer#2            | fW,CB6Hr4i8Vk3adsFCK1QhVor9TvLnJKh3      | 19-515-194-4823 | ully regular deposits use slyly even requests. blithely regular requ
   9997.92 | Supplier#000152897        | INDONESIA                 |   6277860 | Manufacturer#1            | VS8DqGjgNyh5toWUEhYilreCp3pEYb5TJ0FET    | 19-966-614-3374 | al excuses. pending ideas sleep carefully. furiously ironic accounts are about the fluffily exp
   9997.82 | Supplier#000441710        | JAPAN                     |    441709 | Manufacturer#3            | 1ExMzq8nUyR tE5UANlbI                    | 22-888-699-5699 | metimes pending packages alongside o
   9997.70 | Supplier#000091418        | JAPAN                     |   2466413 | Manufacturer#3            | FYnzWvn0F6Ykj61QqvYtabW5,fIJRHTmDzo      | 22-983-723-7306 | ays. silent braids along the carefully pending theodolites integrate carefully regular excuses. ir
   9997.54 | Supplier#000460445        | INDIA                     |    335444 | Manufacturer#3            | NFNoUCvZxtLLry5klt                       | 18-168-365-6435 | fully over the furiously bold theodolites. decoys sleep never
   9997.21 | Supplier#000045318        | JAPAN                     |    420317 | Manufacturer#3            | BiLLOLswp8cfsoygolv0tfhC wg              | 22-208-264-2271 | integrate about the unusual, regular foxes. furiously furious packages wake
   9996.65 | Supplier#000041402        | CHINA                     |   2416397 | Manufacturer#5            | YTO5 WxLYMSHpjhJ,h                       | 28-763-115-7623 | ular platelets are slyly about the furiously regular accounts. ironically un
   9996.02 | Supplier#000270805        | VIETNAM                   |   5520782 | Manufacturer#2            | ZbwZJ w RvH8wIOj                         | 31-812-980-1924 | g packages above the Tiresias are furiously against the requests. furiously silent
   9995.11 | Supplier#000443981        | VIETNAM                   |   4193964 | Manufacturer#2            | lCSr5F3SEpDTtU,Tc,mcToaKDqF9hUK0t07J1F28 | 31-149-673-4780 | s. carefully regular foxes poach carefully finally unus
